id,qwen_thinking,qwen_nonthinking,deepseek_message_texts,sol_o200k_message_proxy,qwen_exact_template_checked,deepseek_provider_template_verified,sol_provider_template_verified,api_template_note
sp_hospital__R__s1,1104,1106,972,948,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
sp_hospital__R__s2,1102,1104,974,950,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
sp_hospital__R__s3,1109,1111,973,949,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
sp_hospital__R__s4,1106,1108,972,948,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
sp_hospital__R__s5,1103,1105,972,948,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
sp_hospital__S__s1,1231,1233,1046,1026,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
sp_hospital__S__s2,1231,1233,1048,1028,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
sp_hospital__S__s3,1193,1195,1031,1011,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
sp_hospital__S__s4,1229,1231,1047,1027,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
sp_hospital__S__s5,1205,1207,1038,1018,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
sp_hospital__H__s1,922,924,883,856,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
sp_hospital__H__s2,921,923,881,854,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
sp_hospital__H__s3,919,921,882,855,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
sp_hospital__H__s4,913,915,877,850,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
sp_hospital__H__s5,920,922,882,855,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
sp_hospital__B__s1,1157,1159,979,960,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
sp_hospital__B__s2,1150,1152,979,960,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
sp_hospital__B__s3,1153,1155,979,960,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
sp_hospital__B__s4,1154,1156,979,960,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
sp_hospital__B__s5,1153,1155,979,960,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
sp_highschool2013__R__s1,1162,1164,980,956,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
sp_highschool2013__R__s2,1168,1170,979,955,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
sp_highschool2013__R__s3,1165,1167,979,955,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
sp_highschool2013__R__s4,1161,1163,980,956,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
sp_highschool2013__R__s5,1159,1161,981,957,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
sp_highschool2013__S__s1,1255,1257,1050,1030,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
sp_highschool2013__S__s2,1249,1251,1051,1031,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
sp_highschool2013__S__s3,1242,1244,1050,1030,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
sp_highschool2013__S__s4,1244,1246,1051,1031,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
sp_highschool2013__S__s5,1246,1248,1050,1030,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
sp_highschool2013__H__s1,932,934,885,858,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
sp_highschool2013__H__s2,928,930,883,856,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
sp_highschool2013__H__s3,933,935,885,858,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
sp_highschool2013__H__s4,932,934,886,859,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
sp_highschool2013__H__s5,933,935,886,859,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
sp_highschool2013__B__s1,1207,1209,987,968,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
sp_highschool2013__B__s2,1207,1209,987,968,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
sp_highschool2013__B__s3,1206,1208,986,967,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
sp_highschool2013__B__s4,1206,1208,986,967,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
sp_highschool2013__B__s5,1206,1208,986,967,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
snap_collegemsg__R__s1,1121,1123,977,953,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
snap_collegemsg__R__s2,1118,1120,977,953,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
snap_collegemsg__R__s3,1121,1123,978,954,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
snap_collegemsg__R__s4,1118,1120,977,953,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
snap_collegemsg__R__s5,1116,1118,977,953,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
snap_collegemsg__S__s1,1242,1244,1045,1025,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
snap_collegemsg__S__s2,1246,1248,1045,1025,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
snap_collegemsg__S__s3,1247,1249,1046,1026,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
snap_collegemsg__S__s4,1246,1248,1045,1025,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
snap_collegemsg__S__s5,1244,1246,1045,1025,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
snap_collegemsg__H__s1,930,932,885,858,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
snap_collegemsg__H__s2,929,931,884,857,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
snap_collegemsg__H__s3,929,931,885,858,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
snap_collegemsg__H__s4,930,932,885,858,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
snap_collegemsg__H__s5,928,930,883,856,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
snap_collegemsg__B__s1,1146,1148,987,968,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
snap_collegemsg__B__s2,1146,1148,987,968,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
snap_collegemsg__B__s3,1145,1147,987,968,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
snap_collegemsg__B__s4,1146,1148,987,968,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
snap_collegemsg__B__s5,1144,1146,987,968,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
snap_email_eu__R__s1,1150,1152,981,957,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
snap_email_eu__R__s2,1148,1150,981,957,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
snap_email_eu__R__s3,1164,1166,983,959,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
snap_email_eu__R__s4,1156,1158,983,959,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
snap_email_eu__R__s5,1157,1159,982,958,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
snap_email_eu__S__s1,1238,1240,1048,1028,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
snap_email_eu__S__s2,1239,1241,1051,1031,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
snap_email_eu__S__s3,1244,1246,1049,1029,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
snap_email_eu__S__s4,1244,1246,1051,1031,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
snap_email_eu__S__s5,1241,1243,1050,1030,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
snap_email_eu__H__s1,931,933,884,857,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
snap_email_eu__H__s2,931,933,884,857,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
snap_email_eu__H__s3,929,931,884,857,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
snap_email_eu__H__s4,930,932,884,857,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
snap_email_eu__H__s5,931,933,884,857,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
snap_email_eu__B__s1,1200,1202,997,978,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
snap_email_eu__B__s2,1199,1201,997,978,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
snap_email_eu__B__s3,1203,1205,997,978,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
snap_email_eu__B__s4,1201,1203,997,978,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
snap_email_eu__B__s5,1201,1203,997,978,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
snap_mathoverflow__R__s1,1195,1197,992,968,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
snap_mathoverflow__R__s2,1203,1205,994,970,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
snap_mathoverflow__R__s3,1195,1197,992,968,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
snap_mathoverflow__R__s4,1193,1195,992,968,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
snap_mathoverflow__R__s5,1193,1195,993,969,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
snap_mathoverflow__S__s1,1326,1328,1061,1041,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
snap_mathoverflow__S__s2,1328,1330,1064,1044,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
snap_mathoverflow__S__s3,1328,1330,1064,1044,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
snap_mathoverflow__S__s4,1328,1330,1064,1044,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
snap_mathoverflow__S__s5,1327,1329,1064,1044,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
snap_mathoverflow__H__s1,951,953,893,866,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
snap_mathoverflow__H__s2,950,952,893,866,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
snap_mathoverflow__H__s3,949,951,893,866,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
snap_mathoverflow__H__s4,948,950,892,865,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
snap_mathoverflow__H__s5,948,950,892,865,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
snap_mathoverflow__B__s1,1202,1204,996,977,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
snap_mathoverflow__B__s2,1202,1204,996,977,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
snap_mathoverflow__B__s3,1202,1204,996,977,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
snap_mathoverflow__B__s4,1200,1202,996,977,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
snap_mathoverflow__B__s5,1202,1204,996,977,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
copenhagen_bluetooth__R__s1,1245,1247,1011,987,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
copenhagen_bluetooth__R__s2,1245,1247,1011,987,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
copenhagen_bluetooth__R__s3,1244,1246,1011,987,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
copenhagen_bluetooth__R__s4,1236,1238,1007,983,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
copenhagen_bluetooth__R__s5,1237,1239,1010,986,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
copenhagen_bluetooth__S__s1,1305,1307,1057,1037,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
copenhagen_bluetooth__S__s2,1310,1312,1060,1040,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
copenhagen_bluetooth__S__s3,1306,1308,1056,1036,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
copenhagen_bluetooth__S__s4,1306,1308,1057,1037,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
copenhagen_bluetooth__S__s5,1307,1309,1057,1037,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
copenhagen_bluetooth__H__s1,958,960,893,866,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
copenhagen_bluetooth__H__s2,956,958,893,866,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
copenhagen_bluetooth__H__s3,956,958,893,866,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
copenhagen_bluetooth__H__s4,955,957,893,866,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
copenhagen_bluetooth__H__s5,956,958,893,866,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
copenhagen_bluetooth__B__s1,1280,1282,1023,1004,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
copenhagen_bluetooth__B__s2,1281,1283,1023,1004,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
copenhagen_bluetooth__B__s3,1281,1283,1023,1004,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
copenhagen_bluetooth__B__s4,1281,1283,1023,1004,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
copenhagen_bluetooth__B__s5,1281,1283,1023,1004,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
dar_a0_r1__R__s1,1109,1111,971,947,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
dar_a0_r1__R__s2,1117,1119,972,948,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
dar_a0_r1__R__s3,1115,1117,972,948,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
dar_a0_r1__R__s4,1111,1113,971,947,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
dar_a0_r1__R__s5,1116,1118,972,948,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
dar_a0_r1__S__s1,1221,1223,1033,1013,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
dar_a0_r1__S__s2,1204,1206,1028,1008,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
dar_a0_r1__S__s3,1239,1241,1040,1020,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
dar_a0_r1__S__s4,1221,1223,1034,1014,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
dar_a0_r1__S__s5,1222,1224,1033,1013,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
dar_a0_r1__H__s1,916,918,876,849,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
dar_a0_r1__H__s2,917,919,876,849,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
dar_a0_r1__H__s3,917,919,876,849,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
dar_a0_r1__H__s4,916,918,876,849,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
dar_a0_r1__H__s5,918,920,876,849,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
dar_a0_r1__B__s1,1131,1133,979,960,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
dar_a0_r1__B__s2,1128,1130,979,960,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
dar_a0_r1__B__s3,1129,1131,979,960,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
dar_a0_r1__B__s4,1131,1133,979,960,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
dar_a0_r1__B__s5,1128,1130,979,960,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
dar_a08_r1__R__s1,1097,1099,971,947,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
dar_a08_r1__R__s2,1101,1103,972,948,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
dar_a08_r1__R__s3,1096,1098,972,948,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
dar_a08_r1__R__s4,1096,1098,972,948,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
dar_a08_r1__R__s5,1096,1098,971,947,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
dar_a08_r1__S__s1,1214,1216,1041,1021,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
dar_a08_r1__S__s2,1216,1218,1042,1022,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
dar_a08_r1__S__s3,1217,1219,1043,1023,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
dar_a08_r1__S__s4,1216,1218,1043,1023,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
dar_a08_r1__S__s5,1218,1220,1043,1023,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
dar_a08_r1__H__s1,912,914,876,849,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
dar_a08_r1__H__s2,909,911,876,849,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
dar_a08_r1__H__s3,909,911,876,849,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
dar_a08_r1__H__s4,910,912,876,849,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
dar_a08_r1__H__s5,910,912,876,849,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
dar_a08_r1__B__s1,1141,1143,979,960,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
dar_a08_r1__B__s2,1144,1146,979,960,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
dar_a08_r1__B__s3,1141,1143,979,960,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
dar_a08_r1__B__s4,1142,1144,979,960,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
dar_a08_r1__B__s5,1142,1144,979,960,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
dar_a0_r2__R__s1,1109,1111,971,947,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
dar_a0_r2__R__s2,1117,1119,972,948,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
dar_a0_r2__R__s3,1118,1120,972,948,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
dar_a0_r2__R__s4,1114,1116,971,947,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
dar_a0_r2__R__s5,1111,1113,971,947,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
dar_a0_r2__S__s1,1240,1242,1039,1019,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
dar_a0_r2__S__s2,1225,1227,1035,1015,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
dar_a0_r2__S__s3,1221,1223,1033,1013,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
dar_a0_r2__S__s4,1222,1224,1033,1013,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
dar_a0_r2__S__s5,1220,1222,1032,1012,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
dar_a0_r2__H__s1,918,920,876,849,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
dar_a0_r2__H__s2,917,919,876,849,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
dar_a0_r2__H__s3,917,919,876,849,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
dar_a0_r2__H__s4,916,918,876,849,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
dar_a0_r2__H__s5,918,920,877,850,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
dar_a0_r2__B__s1,1126,1128,978,959,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
dar_a0_r2__B__s2,1126,1128,978,959,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
dar_a0_r2__B__s3,1127,1129,979,960,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
