id,graph_id,arm,sample_index,status,planned_logical_calls,actual_calls,empty
sp_hospital__R__s1,sp_hospital,R,1,prepared_not_started,12,0,False
sp_hospital__R__s2,sp_hospital,R,2,prepared_not_started,12,0,False
sp_hospital__R__s3,sp_hospital,R,3,prepared_not_started,12,0,False
sp_hospital__R__s4,sp_hospital,R,4,prepared_not_started,12,0,False
sp_hospital__R__s5,sp_hospital,R,5,prepared_not_started,12,0,False
sp_hospital__S__s1,sp_hospital,S,1,prepared_not_started,12,0,False
sp_hospital__S__s2,sp_hospital,S,2,prepared_not_started,12,0,False
sp_hospital__S__s3,sp_hospital,S,3,prepared_not_started,12,0,False
sp_hospital__S__s4,sp_hospital,S,4,prepared_not_started,12,0,False
sp_hospital__S__s5,sp_hospital,S,5,prepared_not_started,12,0,False
sp_hospital__H__s1,sp_hospital,H,1,prepared_not_started,12,0,False
sp_hospital__B__s1,sp_hospital,B,1,prepared_not_started,12,0,False
sp_hospital__B__s2,sp_hospital,B,2,prepared_not_started,12,0,False
sp_hospital__B__s3,sp_hospital,B,3,prepared_not_started,12,0,False
sp_hospital__B__s4,sp_hospital,B,4,prepared_not_started,12,0,False
sp_hospital__B__s5,sp_hospital,B,5,prepared_not_started,12,0,False
sp_highschool2013__R__s1,sp_highschool2013,R,1,prepared_not_started,12,0,False
sp_highschool2013__R__s2,sp_highschool2013,R,2,prepared_not_started,12,0,False
sp_highschool2013__R__s3,sp_highschool2013,R,3,prepared_not_started,12,0,False
sp_highschool2013__R__s4,sp_highschool2013,R,4,prepared_not_started,12,0,False
sp_highschool2013__R__s5,sp_highschool2013,R,5,prepared_not_started,12,0,False
sp_highschool2013__S__s1,sp_highschool2013,S,1,prepared_not_started,12,0,False
sp_highschool2013__S__s2,sp_highschool2013,S,2,prepared_not_started,12,0,False
sp_highschool2013__S__s3,sp_highschool2013,S,3,prepared_not_started,12,0,False
sp_highschool2013__S__s4,sp_highschool2013,S,4,prepared_not_started,12,0,False
sp_highschool2013__S__s5,sp_highschool2013,S,5,prepared_not_started,12,0,False
sp_highschool2013__H__s1,sp_highschool2013,H,1,prepared_not_started,12,0,False
sp_highschool2013__B__s1,sp_highschool2013,B,1,prepared_not_started,12,0,False
sp_highschool2013__B__s2,sp_highschool2013,B,2,prepared_not_started,12,0,False
sp_highschool2013__B__s3,sp_highschool2013,B,3,prepared_not_started,12,0,False
sp_highschool2013__B__s4,sp_highschool2013,B,4,prepared_not_started,12,0,False
sp_highschool2013__B__s5,sp_highschool2013,B,5,prepared_not_started,12,0,False
copenhagen_bluetooth__R__s1,copenhagen_bluetooth,R,1,prepared_not_started,12,0,False
copenhagen_bluetooth__R__s2,copenhagen_bluetooth,R,2,prepared_not_started,12,0,False
copenhagen_bluetooth__R__s3,copenhagen_bluetooth,R,3,prepared_not_started,12,0,False
copenhagen_bluetooth__R__s4,copenhagen_bluetooth,R,4,prepared_not_started,12,0,False
copenhagen_bluetooth__R__s5,copenhagen_bluetooth,R,5,prepared_not_started,12,0,False
copenhagen_bluetooth__S__s1,copenhagen_bluetooth,S,1,prepared_not_started,12,0,False
copenhagen_bluetooth__S__s2,copenhagen_bluetooth,S,2,prepared_not_started,12,0,False
copenhagen_bluetooth__S__s3,copenhagen_bluetooth,S,3,prepared_not_started,12,0,False
copenhagen_bluetooth__S__s4,copenhagen_bluetooth,S,4,prepared_not_started,12,0,False
copenhagen_bluetooth__S__s5,copenhagen_bluetooth,S,5,prepared_not_started,12,0,False
copenhagen_bluetooth__H__s1,copenhagen_bluetooth,H,1,prepared_not_started,12,0,False
copenhagen_bluetooth__B__s1,copenhagen_bluetooth,B,1,prepared_not_started,12,0,False
copenhagen_bluetooth__B__s2,copenhagen_bluetooth,B,2,prepared_not_started,12,0,False
copenhagen_bluetooth__B__s3,copenhagen_bluetooth,B,3,prepared_not_started,12,0,False
copenhagen_bluetooth__B__s4,copenhagen_bluetooth,B,4,prepared_not_started,12,0,False
copenhagen_bluetooth__B__s5,copenhagen_bluetooth,B,5,prepared_not_started,12,0,False
snap_email_eu__R__s1,snap_email_eu,R,1,prepared_not_started,12,0,False
snap_email_eu__R__s2,snap_email_eu,R,2,prepared_not_started,12,0,False
snap_email_eu__R__s3,snap_email_eu,R,3,prepared_not_started,12,0,False
snap_email_eu__R__s4,snap_email_eu,R,4,prepared_not_started,12,0,False
snap_email_eu__R__s5,snap_email_eu,R,5,prepared_not_started,12,0,False
snap_email_eu__S__s1,snap_email_eu,S,1,prepared_not_started,12,0,False
snap_email_eu__S__s2,snap_email_eu,S,2,prepared_not_started,12,0,False
snap_email_eu__S__s3,snap_email_eu,S,3,prepared_not_started,12,0,False
snap_email_eu__S__s4,snap_email_eu,S,4,prepared_not_started,12,0,False
snap_email_eu__S__s5,snap_email_eu,S,5,prepared_not_started,12,0,False
snap_email_eu__H__s1,snap_email_eu,H,1,prepared_not_started,12,0,False
snap_email_eu__B__s1,snap_email_eu,B,1,prepared_not_started,12,0,False
snap_email_eu__B__s2,snap_email_eu,B,2,prepared_not_started,12,0,False
snap_email_eu__B__s3,snap_email_eu,B,3,prepared_not_started,12,0,False
snap_email_eu__B__s4,snap_email_eu,B,4,prepared_not_started,12,0,False
snap_email_eu__B__s5,snap_email_eu,B,5,prepared_not_started,12,0,False
snap_collegemsg__R__s1,snap_collegemsg,R,1,prepared_not_started,12,0,False
snap_collegemsg__R__s2,snap_collegemsg,R,2,prepared_not_started,12,0,False
snap_collegemsg__R__s3,snap_collegemsg,R,3,prepared_not_started,12,0,False
snap_collegemsg__R__s4,snap_collegemsg,R,4,prepared_not_started,12,0,False
snap_collegemsg__R__s5,snap_collegemsg,R,5,prepared_not_started,12,0,False
snap_collegemsg__S__s1,snap_collegemsg,S,1,prepared_not_started,12,0,False
snap_collegemsg__S__s2,snap_collegemsg,S,2,prepared_not_started,12,0,False
snap_collegemsg__S__s3,snap_collegemsg,S,3,prepared_not_started,12,0,False
snap_collegemsg__S__s4,snap_collegemsg,S,4,prepared_not_started,12,0,False
snap_collegemsg__S__s5,snap_collegemsg,S,5,prepared_not_started,12,0,False
snap_collegemsg__H__s1,snap_collegemsg,H,1,prepared_not_started,12,0,False
snap_collegemsg__B__s1,snap_collegemsg,B,1,prepared_not_started,12,0,False
snap_collegemsg__B__s2,snap_collegemsg,B,2,prepared_not_started,12,0,False
snap_collegemsg__B__s3,snap_collegemsg,B,3,prepared_not_started,12,0,False
snap_collegemsg__B__s4,snap_collegemsg,B,4,prepared_not_started,12,0,False
snap_collegemsg__B__s5,snap_collegemsg,B,5,prepared_not_started,12,0,False
snap_mathoverflow__R__s1,snap_mathoverflow,R,1,prepared_not_started,12,0,False
snap_mathoverflow__R__s2,snap_mathoverflow,R,2,prepared_not_started,12,0,False
snap_mathoverflow__R__s3,snap_mathoverflow,R,3,prepared_not_started,12,0,False
