id,config_id,answer_sha256,attempt_sha256,valid,validation_reason,end_state,input_tokens,output_tokens
ad_memory_r1__B-c10__s1__qwen_nonthinking__r1__cells10-json-20260918,qwen_nonthinking,bce08b611a71dce3d8ff92c0ada9248ee7657d2481f4b596cdffec11b0f9a24c,0ac241182baa204778b21ab6c05f79753732cb42c7937403987048d7d384c75a,True,valid,model_end,1120,55
ad_memory_r1__B-c10__s2__qwen_nonthinking__r1__cells10-json-20260918,qwen_nonthinking,17fa2305d005e38d596ae4e065532b86fcd2c82744ea66d2a9634c55ddef0ebd,41e7a457f8916cf4d61193a7d2d40a6d7182f62523c7e107bfdbbbcb2001fb3d,True,valid,model_end,1123,55
ad_memory_r1__B-c10__s3__qwen_nonthinking__r1__cells10-json-20260918,qwen_nonthinking,2822de345a8fe12fa0026f4755898ec58be81fc1e51015c85c6eef23940f8b47,6b52ef29c6d99c5f1b4acc19be533cd6e6620a7e0735e3565b23552a052a69a8,True,valid,model_end,1120,55
ad_memory_r1__B-c10__s4__qwen_nonthinking__r1__cells10-json-20260918,qwen_nonthinking,290782867970b91569732d9c24494565bcaa19efd701a3ee3969a7838ce12f5b,9408666e2629d99e5b04b9102cbb303d3e8aa74bd4b7280ce9c26ad7895f0b48,True,valid,model_end,1122,55
ad_memory_r1__B-c10__s5__qwen_nonthinking__r1__cells10-json-20260918,qwen_nonthinking,6c36e816abf1192ffb23f104fe0c42133593a6d874377b5dc686440e8c2bd2e3,8c481042f244f4879eca1e7a7ffb5c669d62a825417cee9053054dddc39dbd04,True,valid,model_end,1119,55
ad_memory_r1__H-recent5-c10__s1__qwen_nonthinking__r1__cells10-json-20260918,qwen_nonthinking,114e7a1043b6b525953c09c70752e5705839b6f670e50412f11f7d628dc6ddfb,070827102a9799d8d174393daeab7569d9fa48bf4cd861262cd54a44755ef415,True,valid,model_end,1309,55
ad_memory_r1__H-recent5-c10__s2__qwen_nonthinking__r1__cells10-json-20260918,qwen_nonthinking,364b73426c2c18de85978789dcb8ad0bbc1feeb3b717f1bb9193856b23d064ed,9980d0eea71a7b40b1ae19b891edf35b28b7d44230dadbe98f96a0b9ed25bdbb,True,valid,model_end,1307,55
ad_memory_r1__H-recent5-c10__s3__qwen_nonthinking__r1__cells10-json-20260918,qwen_nonthinking,b50b6e18bca477067d3f05463899fd203cca9e34749365495a275a2d8876ff3b,cbbbe450c152f60dc522cc4ff69ead1df7f791d2c9ba17d034147874a2358fe7,True,valid,model_end,1310,55
ad_memory_r1__H-recent5-c10__s4__qwen_nonthinking__r1__cells10-json-20260918,qwen_nonthinking,5254e9c77feab8c55cd6ca004f1effe02e561c856508890987308a70f666647d,14932278a4f0aaa9d86e8456cb2a0036983e132e53db06fb70584b507f833340,True,valid,model_end,1311,55
ad_memory_r1__H-recent5-c10__s5__qwen_nonthinking__r1__cells10-json-20260918,qwen_nonthinking,168609413f5bd3088d96fd401c7e63641fe6150a17960699d3d5710b6cccf132,8351a4b45bcb8642dd4651cfccf283006a0615cc764272b74d38f03a4ee7cfd9,True,valid,model_end,1306,55
ad_memory_r1__R-c10__s1__qwen_nonthinking__r1__cells10-json-20260918,qwen_nonthinking,340b2042d49a49e1d8d89bc9acef4cb16f0ba86af95ba1b146003a3bbcdedce4,f09b803f6ef8af7ac63c5ac42e8f5d494db812910b70612232b27f258ac3eb8b,True,valid,model_end,1109,55
ad_memory_r1__R-c10__s2__qwen_nonthinking__r1__cells10-json-20260918,qwen_nonthinking,56d03794654acf801094e7c52438baa78dc93ba0ea1adf31b48e643afeaad47f,dd7ab669ecc5be8be8bdbc167b029d7b9b7e6c44502b33224f1d6d186aa35c49,True,valid,model_end,1116,55
ad_memory_r1__R-c10__s3__qwen_nonthinking__r1__cells10-json-20260918,qwen_nonthinking,7b3eb3689a1ed1d12ebd811098505a95533856f83c3cc7f4fdeda60052d1e79a,a4651b5bc9514fde274492c12b4daac52d7ea0b09a5060f81c082778db55ca92,True,valid,model_end,1114,55
ad_memory_r1__R-c10__s4__qwen_nonthinking__r1__cells10-json-20260918,qwen_nonthinking,cf161608ef4654bd22ca52c8a901fddfcba1a36dc973875122dda1484ba4163e,50d63832083709e8d29d8865da15a3fb62dc23b44112044d9ddd64bfdd292e5d,True,valid,model_end,1112,55
ad_memory_r1__R-c10__s5__qwen_nonthinking__r1__cells10-json-20260918,qwen_nonthinking,891744b912a4fe387fc527c777532e2c1d171e1120e0771d104d0858bc032e8b,c34744e635da4fd93250aebab3a40d9e341a80340e75006f49f33cef2d42c536,True,valid,model_end,1112,55
ad_memory_r1__S-c10__s1__qwen_nonthinking__r1__cells10-json-20260918,qwen_nonthinking,bd1cd5bb4495589482670b63fd9d706ebd8bcaaaa7d798fbd286ce06a0ae0797,626208079c1a56af0b9a7526e3d247981e01afe12456812b00dac0a562e6321d,True,valid,model_end,1229,55
