model,generation,prompt_id,strategy,condition,coverage,delta_i,lost_structural,lost_invalid
qwen36-27b_nothink,0,controlled__snap_collegemsg__bursty__contiguous__rho0.15__r0|event_sample_then_full_history|ss0|b9600|hidden,event_sample_then_full_history,hidden,0.0445151033386327,-0.045039022980199406,True,False
qwen36-27b_nothink,0,controlled__snap_email_eu__bursty__contiguous__rho0.55__r0|event_sample_then_full_history|ss0|b9600|mismatched,event_sample_then_full_history,mismatched,0.002925796812749,-0.2585230884970755,True,False
qwen36-27b_nothink,0,controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|event_sample_then_full_history|ss0|b9600|direction_only,event_sample_then_full_history,direction_only,0.0079739980636855,-0.0845732433469295,True,False
qwen36-27b_nothink,0,controlled__snap_mathoverflow__bursty__contiguous__rho0.55__r0|event_sample_then_full_history|ss0|b9600|direction_only,event_sample_then_full_history,direction_only,0.0070856340365771,-0.2922770844637366,True,False
qwen36-27b_nothink,0,controlled__snap_mathoverflow__bursty__contiguous__rho0.55__r0|node_panel_full_history|ss0|b2500|mechanism_direction,node_panel_full_history,mechanism_direction,0.0063036609109188,0.0022376834687528047,True,False
qwen36-27b_nothink,0,controlled__sp_highschool2013__bursty__contiguous__rho0.15__r0|recent_history_k20|ws0|b800|direction_only,recent_history_k20,direction_only,0.0402200068752148,0.1194495127118021,True,False
qwen36-27b_nothink,0,controlled__sp_hypertext2009__bursty__contiguous__rho0.15__r0|node_panel_full_history|ss0|b2500|mechanism,node_panel_full_history,mechanism,0.0837887067395264,0.013255325888968106,True,False
qwen36-27b_nothink,0,controlled__sp_primaryschool__bursty__contiguous__rho0.15__r0|event_sample_then_full_history|ss0|b9600|mismatched,event_sample_then_full_history,mismatched,0.0080557893471203,-0.05890111783274321,True,False
qwen36-27b_nothink,0,real__snap_collegemsg|event_sample_then_full_history|ss0|b9600|direction_only,event_sample_then_full_history,direction_only,0.0445151033386327,-0.1534439328556976,True,False
qwen36-27b_nothink,0,real__snap_collegemsg|event_sample_then_full_history|ss0|b9600|hidden,event_sample_then_full_history,hidden,0.0445151033386327,-0.1534439328556976,True,False
qwen36-27b_nothink,0,real__snap_collegemsg|node_panel_full_history|ss0|b2500|mechanism,node_panel_full_history,mechanism,0.0376499494146553,0.018596598589824292,True,False
qwen36-27b_nothink,0,real__sp_primaryschool|event_sample_then_full_history|ss0|b9600|mismatched,event_sample_then_full_history,mismatched,0.0122640375135265,-0.4215910242899613,True,False
qwen36-27b_nothink,1,controlled__snap_collegemsg__bursty__contiguous__rho0.15__r0|event_sample_then_full_history|ss0|b9600|direction_only,event_sample_then_full_history,direction_only,0.0445151033386327,-0.045039022980199406,True,False
qwen36-27b_nothink,1,controlled__snap_collegemsg__bursty__contiguous__rho0.15__r0|event_sample_then_full_history|ss0|b9600|mismatched,event_sample_then_full_history,mismatched,0.0445151033386327,-0.045039022980199406,True,False
qwen36-27b_nothink,1,controlled__snap_collegemsg__bursty__contiguous__rho0.55__r0|event_sample_then_full_history|ss0|b9600|hidden,event_sample_then_full_history,hidden,0.0437201907790143,-0.2106938732607181,True,False
qwen36-27b_nothink,1,controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|event_sample_then_full_history|ss0|b9600|direction_only,event_sample_then_full_history,direction_only,0.0079739980636855,-0.0845732433469295,True,False
qwen36-27b_nothink,1,controlled__sp_hypertext2009__bursty__contiguous__rho0.15__r0|event_sample_then_full_history|ss0|b9600|mismatched,event_sample_then_full_history,mismatched,0.0724043715846994,-0.06416469051792278,True,False
qwen36-27b_nothink,1,controlled__sp_hypertext2009__bursty__contiguous__rho0.55__r0|event_sample_then_full_history|ss0|b9600|direction_only,event_sample_then_full_history,direction_only,0.0664845173041894,-0.21396935898395592,True,False
qwen36-27b_nothink,1,controlled__sp_hypertext2009__bursty__contiguous__rho0.55__r0|event_sample_then_full_history|ss0|b9600|mismatched,event_sample_then_full_history,mismatched,0.0664845173041894,-0.21396935898395592,True,False
qwen36-27b_nothink,1,controlled__sp_primaryschool__bursty__contiguous__rho0.15__r0|node_panel_full_history|ss0|b2500|mechanism,node_panel_full_history,mechanism,0.0139473367800889,-0.056842445676284103,True,False
qwen36-27b_nothink,1,real__snap_collegemsg|event_sample_then_full_history|ss0|b9600|direction_only,event_sample_then_full_history,direction_only,0.0445151033386327,-0.1534439328556976,True,False
qwen36-27b_nothink,1,real__snap_email_eu|node_panel_full_history|ss0|b2500|direction_only,node_panel_full_history,direction_only,0.0166210159362549,0.048798252682155374,True,False
qwen36-27b_nothink,1,real__sp_primaryschool|event_sample_then_full_history|ss0|b9600|mismatched,event_sample_then_full_history,mismatched,0.0122640375135265,-0.4215910242899613,True,False
qwen36-27b_nothink,2,controlled__snap_collegemsg__bursty__contiguous__rho0.15__r0|event_sample_then_full_history|ss0|b9600|mismatched,event_sample_then_full_history,mismatched,0.0445151033386327,-0.045039022980199406,True,False
qwen36-27b_nothink,2,controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|event_sample_then_full_history|ss0|b9600|mismatched,event_sample_then_full_history,mismatched,0.0079739980636855,-0.0845732433469295,True,False
qwen36-27b_nothink,2,controlled__sp_hypertext2009__bursty__contiguous__rho0.55__r0|event_sample_then_full_history|ss0|b9600|hidden,event_sample_then_full_history,hidden,0.0664845173041894,-0.21396935898395592,True,False
qwen36-27b_nothink,2,controlled__sp_primaryschool__bursty__contiguous__rho0.15__r0|time_respecting|ws0|b800|direction_only,time_respecting,direction_only,0.0447276662258025,0.1500541060478538,False,True
qwen36-27b_nothink,2,controlled__sp_primaryschool__bursty__contiguous__rho0.55__r0|event_sample_then_full_history|ss0|b9600|mismatched,event_sample_then_full_history,mismatched,0.0108212095707586,-0.2962900618545683,True,False
qwen36-27b_nothink,2,real__snap_collegemsg|event_sample_then_full_history|ss0|b9600|direction_only,event_sample_then_full_history,direction_only,0.0445151033386327,-0.1534439328556976,True,False
qwen36-27b_nothink,2,real__snap_mathoverflow|event_sample_then_full_history|ss0|b9600|direction_only,event_sample_then_full_history,direction_only,0.0083197684933984,-0.1573040360544888,True,False
qwen36-27b_nothink,2,real__sp_hypertext2009|event_sample_then_full_history|ss0|b9600|direction_only,event_sample_then_full_history,direction_only,0.0842440801457194,-0.3195490572539753,True,False
qwen36-27b_nothink,2,real__sp_hypertext2009|node_panel_full_history|ss0|b2500|mechanism_direction,node_panel_full_history,mechanism_direction,0.1193078324225865,-0.14480179090365547,True,False
qwen36-27b_nothink,2,real__sp_primaryschool|event_sample_then_full_history|ss0|b9600|mismatched,event_sample_then_full_history,mismatched,0.0122640375135265,-0.4215910242899613,True,False
qwen36-27b_think,0,controlled__snap_collegemsg__bursty__contiguous__rho0.55__r0|event_sample_then_full_history|ss0|b9600|mismatched,event_sample_then_full_history,mismatched,0.0437201907790143,-0.2106938732607181,True,False
qwen36-27b_think,0,controlled__sp_hypertext2009__bursty__contiguous__rho0.15__r0|event_sample_then_full_history|ss0|b9600|direction_only,event_sample_then_full_history,direction_only,0.0724043715846994,-0.06416469051792278,True,False
qwen36-27b_think,0,controlled__sp_hypertext2009__bursty__contiguous__rho0.55__r0|event_sample_then_full_history|ss0|b9600|mechanism,event_sample_then_full_history,mechanism,0.0664845173041894,-0.21396935898395592,True,False
qwen36-27b_think,0,controlled__sp_hypertext2009__bursty__contiguous__rho0.55__r0|event_sample_then_full_history|ss0|b9600|mechanism_direction,event_sample_then_full_history,mechanism_direction,0.0664845173041894,-0.21396935898395592,True,False
qwen36-27b_think,0,real__sp_hypertext2009|event_sample_then_full_history|ss0|b9600|mechanism,event_sample_then_full_history,mechanism,0.0842440801457194,-0.3195490572539753,True,False
qwen36-27b_think,0,real__sp_hypertext2009|event_sample_then_full_history|ss0|b9600|mismatched,event_sample_then_full_history,mismatched,0.0842440801457194,-0.3195490572539753,True,False
qwen36-27b_think,0,real__sp_hypertext2009|event_sample_then_full_history|ss1|b9600|slot1|mechanism,event_sample_then_full_history,mechanism,0.0646630236794171,-0.3517150260396624,True,False
qwen36-27b_think,0,real__sp_hypertext2009|event_sample_then_full_history|ss2|b9600|slot2|hidden,event_sample_then_full_history,hidden,0.0742258652094717,-0.34458636449987146,True,False
qwen36-27b_think,0,real__sp_hypertext2009|event_sample_then_full_history|ss3|b9600|slot3|mechanism,event_sample_then_full_history,mechanism,0.0637522768670309,-0.35352589123080924,True,False
qwen36-27b_think,1,controlled__snap_collegemsg__bursty__contiguous__rho0.55__r0|event_sample_then_full_history|ss0|b9600|hidden,event_sample_then_full_history,hidden,0.0437201907790143,-0.2106938732607181,True,False
qwen36-27b_think,1,controlled__snap_collegemsg__bursty__contiguous__rho0.55__r0|event_sample_then_full_history|ss0|b9600|mismatched,event_sample_then_full_history,mismatched,0.0437201907790143,-0.2106938732607181,True,False
qwen36-27b_think,1,controlled__sp_hypertext2009__bursty__contiguous__rho0.55__r0|event_sample_then_full_history|ss0|b9600|hidden,event_sample_then_full_history,hidden,0.0664845173041894,-0.21396935898395592,True,False
qwen36-27b_think,1,real__sp_hypertext2009|event_sample_then_full_history|ss0|b9600|hidden,event_sample_then_full_history,hidden,0.0842440801457194,-0.3195490572539753,True,False
qwen36-27b_think,1,real__sp_hypertext2009|event_sample_then_full_history|ss0|b9600|mismatched,event_sample_then_full_history,mismatched,0.0842440801457194,-0.3195490572539753,True,False
qwen36-27b_think,1,real__sp_hypertext2009|event_sample_then_full_history|ss1|b9600|slot1|hidden,event_sample_then_full_history,hidden,0.0646630236794171,-0.3517150260396624,True,False
qwen36-27b_think,1,real__sp_hypertext2009|event_sample_then_full_history|ss2|b9600|slot2|hidden,event_sample_then_full_history,hidden,0.0742258652094717,-0.34458636449987146,True,False
