id,qwen_thinking,qwen_nonthinking,deepseek_message_texts,sol_o200k_message_proxy,qwen_exact_template_checked,deepseek_provider_template_verified,sol_provider_template_verified,api_template_note
sp_hospital__R-c10__s1,1113,1115,974,950,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
sp_hospital__R-c10__s2,1097,1099,972,948,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
sp_hospital__R-c10__s3,1122,1124,975,951,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
sp_hospital__R-c10__s4,1115,1117,972,948,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
sp_hospital__R-c10__s5,1112,1114,974,950,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
sp_hospital__S-c10__s1,1252,1254,1050,1030,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
sp_hospital__S-c10__s2,1249,1251,1051,1031,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
sp_hospital__S-c10__s3,1252,1254,1051,1031,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
sp_hospital__S-c10__s4,1252,1254,1050,1030,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
sp_hospital__S-c10__s5,1252,1254,1049,1029,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
sp_hospital__H-recent5-c10__s1,1293,1295,1167,1145,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
sp_hospital__H-recent5-c10__s2,1289,1291,1167,1145,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
sp_hospital__H-recent5-c10__s3,1292,1294,1167,1145,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
sp_hospital__H-recent5-c10__s4,1290,1292,1167,1145,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
sp_hospital__H-recent5-c10__s5,1292,1294,1167,1145,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
sp_hospital__B-c10__s1,1109,1111,979,960,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
sp_hospital__B-c10__s2,1108,1110,979,960,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
sp_hospital__B-c10__s3,1108,1110,979,960,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
sp_hospital__B-c10__s4,1107,1109,979,960,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
sp_hospital__B-c10__s5,1108,1110,979,960,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
sp_highschool2013__R-c10__s1,1165,1167,983,959,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
sp_highschool2013__R-c10__s2,1162,1164,979,955,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
sp_highschool2013__R-c10__s3,1164,1166,979,955,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
sp_highschool2013__R-c10__s4,1169,1171,980,956,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
sp_highschool2013__R-c10__s5,1164,1166,978,954,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
sp_highschool2013__S-c10__s1,1291,1293,1057,1037,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
sp_highschool2013__S-c10__s2,1283,1285,1053,1033,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
sp_highschool2013__S-c10__s3,1290,1292,1055,1035,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
sp_highschool2013__S-c10__s4,1282,1284,1052,1032,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
sp_highschool2013__S-c10__s5,1294,1296,1059,1039,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
sp_highschool2013__H-recent5-c10__s1,1328,1330,1168,1146,True,False,False,DeepSeek message text count; Sol tokenizer proxy. Provider framing requires later technical release.
