stratum,arm,config_id,mock,valid_fraction,limit_fraction,technical_failure_fraction,fence_fraction,other_answer_error_fraction,replacement_fraction,started_logical_requests,not_started,in_progress,empty_observations,empty_fraction,complete,AE2,AE2_MCSE,ProfileAE,ProfileAE_MCSE,delta_AE2,delta_AE2_MCSE,delta_ProfileAE,delta_ProfileAE_MCSE,delta_AE2_vs_plugin,delta_AE2_vs_plugin_MCSE,delta_AE2_vs_extratrees,delta_AE2_vs_extratrees_MCSE
real,R,sol,False,,,,,,,0,90,0,0,0.0,False,,,,,,,,,,,,
real,R,deepseek,False,,,,,,,0,90,0,0,0.0,False,,,,,,,,,,,,
real,R,qwen_thinking,False,1.0,0.0,0.0,0.12222222222222222,0.0,0.0,90,0,0,0,0.0,True,0.019860158238776977,0.003819605071758623,0.01395475624311811,0.001675141089098559,0.00013840315205091808,0.0003704186781084099,0.0015336771132445023,0.00077725813300047,0.00013840315205091808,0.0003704186781084099,-0.009996463607657343,0.0038941468545659577
real,R,qwen_nonthinking,False,0.0,0.0,0.0,0.0,1.0,1.0,90,0,0,0,0.0,True,0.01972175508672606,0.003828240605221928,0.012421079129873605,0.001269521316824966,0.0,0.0,0.0,0.0,0.0,0.0,-0.010134866759708261,0.0039109724285852545
real,S,sol,False,,,,,,,0,90,0,0,0.0,False,,,,,,,,,,,,
real,S,deepseek,False,,,,,,,0,90,0,0,0.0,False,,,,,,,,,,,,
real,S,qwen_thinking,False,1.0,0.0,0.0,0.2222222222222222,0.0,0.0,90,0,0,0,0.0,True,0.13843453865591734,0.0181082816625334,0.09177296109755834,0.015268252776085173,0.04124697639891539,0.010711730436884693,0.048080229103714046,0.012462764469066355,-0.1838047139170864,0.014287572476655186,0.0769644730574766,0.015761128346339873
real,S,qwen_nonthinking,False,0.0,0.0,0.0,0.0,1.0,1.0,90,0,0,0,0.0,True,0.32223925257300373,0.010621630609556053,0.2735440123620289,0.009631592836005188,0.22505169031600172,0.009665816200320124,0.2298512803681847,0.008039651828041401,0.0,0.0,0.260769186974563,0.010950791330528549
real,H,sol,False,,,,,,,0,90,0,0,0.0,False,,,,,,,,,,,,
real,H,deepseek,False,,,,,,,0,90,0,0,0.0,False,,,,,,,,,,,,
